1|15000|2023-12-13 10:30:00
2|20000|2023-12-13 11:15:00
3|18000|2023-12-13 12:00:00
4|25000|2023-12-13 13:45:00
5|12000|2023-12-13 14:30:00
6|30000|2023-12-13 15:15:00
7|22000|2023-12-13 16:00:00
8|18000|2023-12-13 17:45:00
9|27000|2023-12-13 18:30:00
10|16000|2023-12-13 19:15:00
11|20000|2023-12-13 20:00:00
12|25000|2023-12-13 21:45:00
13|30000|2023-12-13 22:30:00
14|15000|2023-12-14 10:30:00
15|18000|2023-12-14 11:15:00
16|21000|2023-12-14 12:00:00
17|23000|2023-12-14 13:45:00
18|28000|2023-12-14 14:30:00
19|32000|2023-12-14 15:15:00
20|19000|2023-12-14 16:00:00
